RUN	Event	Teta	Fi	Nview	NviewCorr	Sdet	Dens	DensCorr	NgoodPMT	NhitPMT	SumNpeGoodCorr	SpecEnDep	NupSCT	NdnSCT
810	3336	47.73	197.82	5	5.00226	28.9743	0.100167	0.102477	520	296	4124.71	40250.3	1	1
810	14441	43.43	148.71	5	5.00226	26.9756	0.107589	0.11007	520	286	3753.22	34098.6	2	0
810	20146	41.2	212.96	5	5.00226	25.6804	0.113015	0.115621	520	307	5342.78	46209.5	2	0
810	30058	45.7	137.21	5	5.00226	27.034	0.107356	0.109832	520	272	3395.43	30914.8	0	0
810	31403	43.25	213.27	8	8.00926	26.7738	0.220711	0.222669	520	490	24977.6	112174	9	0
810	40876	61.34	141.83	7	7.00621	34.4278	0.142507	0.144423	520	472	40389.3	279659	0	1
810	47861	47.2	229.7	5	5.00226	26.4981	0.109527	0.112053	520	265	2903.8	25914.6	5	0
810	56238	58.12	251.41	13	13.0398	23.4833	0.465852	0.460302	520	502	81762.8	177628	2	0
810	59283	41.69	210.94	6	6.00391	26.0479	0.149874	0.152598	520	490	32557.8	213356	28	1
810	76438	59.01	238.12	9	9.01319	28.9319	0.238947	0.240008	520	403	12545.9	52272.8	0	0
810	77949	55.58	140.63	5	5.00226	32.0408	0.0905801	0.0926689	520	335	7523.82	81190.3	2	0
810	81078	60.25	161.36	7	7.00621	34.5164	0.142141	0.144053	520	415	11052.6	76725.8	1	0
810	86652	54.5	239.89	5	5.00226	26.7642	0.108438	0.110939	520	430	13948.5	125732	2	1
810	86744	46.74	203.44	7	7.00621	28.7821	0.17046	0.172753	520	409	12521	72479.4	9	0
810	93957	58.97	114.82	5	5.00226	26.358	0.11011	0.112649	520	416	15132.2	134331	1	0
810	94847	44.74	239.79	46	47.7614	22.8457	1.99869	1.81981	520	513	102790	56483.8	16	4
810	100144	41.17	160.65	5	5.00226	25.6438	0.113176	0.115786	520	288	3753.28	32415.7	0	1
810	103132	69.1	215.54	6	6.00391	37.2106	0.104914	0.106821	520	370	7859.48	73576.3	0	1
810	107984	43.05	219.1	5	5.00226	26.1607	0.11094	0.113498	520	458	16772.8	147780	6	1
810	110709	50.78	230.31	9	9.01319	27.9659	0.247201	0.248299	520	337	6316.65	25439.7	1	0
810	122274	47.73	209.19	8	8.00926	29.2761	0.201846	0.203637	520	311	4244.25	20842.3	0	0
810	136792	60.16	252.7	7	7.00621	23.4669	0.209069	0.211881	520	479	21387.5	100941	3	3
810	139470	40.48	218.33	5	5.00226	24.8622	0.116734	0.119426	520	205	1950.33	16330.9	0	0
810	145133	49.47	233.82	5	5.00226	26.5419	0.109346	0.111868	520	299	4731.05	42291.4	0	0
810	156304	59.02	199.87	5	5.00226	34.1413	0.0850073	0.0869675	520	345	7023.75	80762.9	1	0
810	189464	43.04	224.94	8	8.00926	25.359	0.233024	0.235092	520	470	17764.9	75565.8	11	1
810	200353	46.37	144.83	7	7.00621	28.2582	0.17362	0.175955	520	384	8938.87	50801.9	4	1
810	205477	44.36	195.95	5	5.00226	27.089	0.107138	0.109608	520	322	5362.21	48921.5	3	0
810	207331	41.57	211.29	5	5.00226	25.9674	0.111765	0.114343	520	205	2047.53	17906.9	1	0
810	208572	41.09	239.16	5	5.00226	21.3589	0.135881	0.139014	520	245	2514.56	18088.5	1	0
810	209169	41.01	228.47	5	5.00226	23.7094	0.12241	0.125232	520	240	3122.75	24935.6	1	0
810	222213	47.71	207.19	5	5.00226	29.3038	0.0990404	0.101324	520	443	12234.7	120748	12	0
810	222840	47.48	233.5	10	10.0181	25.7486	0.307516	0.307563	520	479	19950.6	64866.8	4	2
810	226418	47.02	149.48	6	6.00391	28.874	0.135205	0.137663	520	264	3443.57	25014.6	1	1
810	259555	46.42	216.65	5	5.00226	28.1508	0.103097	0.105474	520	298	4757.17	45102.6	0	1
