NRUN,NEvent,Theta,Phi,event_time_ns,clusters_bit,clusters,1_1_t,1_2_t,1_3_t,1_4_t,2_1_t,2_2_t,2_3_t,2_4_t,3_1_t,3_2_t,3_3_t,3_4_t,4_1_t,4_2_t,4_3_t,4_4_t,5_1_t,5_2_t,5_3_t,5_4_t,6_1_t,6_2_t,6_3_t,6_4_t,7_1_t,7_2_t,7_3_t,7_4_t,8_1_t,8_2_t,8_3_t,8_4_t,9_1_t,9_2_t,9_3_t,9_4_t,1_theta,1_phi,1_a_x,1_a_y,1_a_z,2_theta,2_phi,2_a_x,2_a_y,2_a_z,3_theta,3_phi,3_a_x,3_a_y,3_a_z,4_theta,4_phi,4_a_x,4_a_y,4_a_z,5_theta,5_phi,5_a_x,5_a_y,5_a_z,6_theta,6_phi,6_a_x,6_a_y,6_a_z,7_theta,7_phi,7_a_x,7_a_y,7_a_z,8_theta,8_phi,8_a_x,8_a_y,8_a_z,9_theta,9_phi,9_a_x,9_a_y,9_a_z
836,6627,63.67,116.71,41539852841490,254,"7,2,5,3,4,8,6",None,None,None,None,2353.241,2339.532,None,None,None,2288.165,2352.697,None,2347.698,2327.065,None,2395.202,2347.165,2327.821,2379.692,2394.386,2319.779,None,2346.157,2352.198,2347.094,2295.388,2334.775,None,None,2298.411,None,2356.793,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,74.33058114322208,111.08849377777453,-0.34643750000000306,0.8983508771929793,0.2700865787860485,49.66546656279195,108.7733615929452,-0.245320641282562,0.7217243767313078,0.6472493391209586,,,,,,None,None,None,None,None,None,None,None,None,None
836,12188,42.9,198.78,41927414340004,348,"9,3,7,4,5",None,None,None,None,None,None,None,None,2377.588,2350.685,2636.686,2357.529,2418.106,2359.338,2354.716,2386.056,2389.431,2354.422,2338.525,2372.302,None,None,None,None,2350.992,None,2327.724,None,None,None,None,None,2376.339,2342.739,2334.071,2375.241,None,None,None,None,None,None,None,None,None,None,35.85888193574003,198.30180639544017,-0.5561589895988255,-0.1839514524472763,0.8104622393615578,67.98259052708507,232.24751948449438,-0.5676000000000184,-0.733,0.3748883033651212,49.00807112433044,200.19572776795067,-0.7083958333333382,-0.2605789473684178,0.655952708283404,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,68.8975950629022,190.80883404856613,-0.916386554621851,-0.1749565217391315,0.36003596766050755
836,12453,51.32,212.71,41946132622518,151,"1,3,2,8,5",2376.449,2347.995,2335.962,2361.802,2372.925,2349.378,2320.554,2345.383,2388.631,2358.372,2325.9,2349.679,None,None,None,None,2346.788,None,2295.417,2317.319,None,None,None,None,None,None,None,None,None,2331.571,None,2346.979,None,None,None,None,49.43232698293039,207.88011695439783,-0.671465587044538,-0.3552244436061832,0.6503457235037466,60.17062137120933,224.58912657470307,-0.6178056680161881,-0.6090079215390479,0.4974188457123036,,,,,,None,None,None,None,None,41.44213724410784,229.83264679492825,-0.4269166666666619,-0.5057719298245642,0.7496245158235971,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
836,31010,44.25,234.01,43256194340235,44,"6,3,4",None,None,None,None,None,None,None,None,None,None,2307.759,2348.569,2378.677,2353.227,2331.854,2354.421,None,None,None,None,2407.108,None,2337.428,2351.415,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43.561612738783104,230.99103504002065,-0.43377000000000815,-0.5354899999999987,0.7246337329989505,None,None,None,None,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
836,71181,41.01,139.26,46120750960920,447,"2,1,3,9,5,4,6,8",2352.727,2340.497,2355.61,2378.461,2352.252,None,2347.585,2366.452,2358.344,2326.941,2363.359,2382.454,None,2331.084,2351.017,2376.688,2342.801,None,2345.643,2357.771,2355.573,2340.056,2358.972,2373.212,None,None,None,None,2351.601,2329.903,2355.169,2377.371,2357.07,2332.812,2359.928,2375.972,36.82063455168754,136.97201463765452,-0.4381093117408863,0.4089437947944194,0.8005155861474945,31.66737679241404,145.43457020334654,-0.43231578947368815,0.2978498679743601,0.8511101657948859,43.01048821287072,144.2685215420097,-0.553729569093613,0.3983565459610041,0.7312288469428843,33.51062346013554,144.6707906579241,-0.4504200000000037,0.3192600000000064,0.8337834706924769,20.692531485703302,129.19210714256624,-0.22329166666665617,0.2738596491228042,0.935490098386702,38.671031095584766,139.70089945593537,-0.4765581162324624,0.4041378116343518,0.7807464319869569,None,None,None,None,None,41.38862861294466,136.9384359913119,-0.48305921052632267,0.4514313725490249,0.7502423041952443,40.3002576955743,138.166406643117,-0.48191596638655665,0.43139130434781675,0.7626654206628228
836,77345,46.27,154.37,46540662270453,263,"2,1,3,9",2353.748,2326.533,2346.42,2372.54,2367.547,2347.244,2357.916,2387.056,2360.883,2325.363,2349.185,2384.079,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2325.175,None,2326.4,2348.24,,,,,,47.01048366464907,149.57756245969455,-0.6307651821862313,0.3703998491135428,0.6818645295938447,56.95288049110914,157.72605978171714,-0.7756760772659829,0.3177158774373316,0.5453285655286026,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43.89711933802178,140.45947698341385,-0.5347058823529444,0.4414130434782612,0.7205859729584096
836,86037,53.11,221.92,47183036116282,445,"9,6,1,3,8,4,5",2362.283,2338.036,None,2342.823,None,None,None,None,2403.299,None,2327.496,2350.739,2370.423,None,2316.088,2348.604,None,2353.004,2320.082,2351.208,2348.475,2333.164,None,2322.326,None,None,None,None,2378.974,2352.76,2333.276,2358.991,2372.775,2351.231,2327.673,2351.352,52.67573716815,219.4813683376642,-0.6137732793522448,-0.5056205205582924,0.6063252021345911,None,None,None,None,None,52.08885328327846,226.4632148510243,-0.5434546805349239,-0.5719458814166247,0.614438702341612,52.45248319709182,221.7923351246398,-0.5911199999999944,-0.5283799999999917,0.6094191670763361,55.52921547411685,221.02052779988668,-0.6220000000000154,-0.5410877192982526,0.5659859362427623,,,,,,None,None,None,None,None,45.35185866638889,217.78052535824526,-0.5622927631578984,-0.4358529411764769,0.7027510669988841,51.17476059628467,225.71678197919525,-0.5439453781512499,-0.5577282608695763,0.6269470572666337
836,95666,40.27,130.05,47840151834240,245,"7,1,3,5,8,6",2355.547,2345.689,2365.355,2382.091,None,None,None,None,2357.57,2337.523,2376.384,2393.236,None,None,None,None,2346.618,2329.086,2351.941,2370.796,2357.437,2343.435,2368.137,2378.937,2350.751,2336.039,2333.745,None,2362.724,2343.728,2369.565,2390.179,None,None,None,None,35.231982555855325,125.50336298741608,-0.3350283400809787,0.46963410033949593,0.8168230060061337,None,None,None,None,None,38.87975399274279,129.84651198710836,-0.402180534918274,0.4819160366096227,0.778464996638464,None,None,None,None,None,35.22371149533164,130.02144681883607,-0.37090624999999877,0.4416929824561383,0.8169062755052993,40.16652537378532,128.56304171209956,-0.402084168336673,0.5043490304709131,0.7641730020329532,27.898248023747357,179.21111030216662,-0.467858439201465,0.006442220200186631,0.8837799379182928,40.30865426426682,132.94378015102802,-0.4407236842105317,0.4735490196078414,0.7625706263713203,None,None,None,None,None
836,97331,43.71,131.72,47958506918767,447,"2,1,3,5,9,4,8,6",2352.216,2337.101,2356.379,2377.642,2342.712,2342.193,2343.4,2376.471,2358.113,2335.629,2384.606,2396.74,2353.251,2328.094,2357.081,2382.574,None,2327.973,2353.263,2375.933,None,2326.139,2349.477,2367.078,None,None,None,None,2351.034,2328.245,2356.288,2380.553,None,None,2325.208,2348.022,39.86346211892485,135.08033021065307,-0.4538623481781381,0.45259147491511736,0.7675740522844589,37.6000288505552,135.90769865864218,-0.43821862348177043,0.4245492267069081,0.7922893361243155,42.447965459014306,123.93347698646934,-0.3767607726597266,0.5599721448467971,0.7378905861850547,43.02788160603696,132.39851621494245,-0.4600999999999961,0.5038999999999982,0.7310217370229188,40.93763959021424,132.87609318590435,-0.44583333333331954,0.48017543859649253,0.7554231840879436,49.967971583122335,140.77074868129807,-0.5931162324649373,0.4842382271467978,0.6432157290958646,None,None,None,None,None,46.72189754013565,134.93168811652498,-0.5141842105263166,0.5154117647058842,0.6855401596173595,None,None,None,None,None
836,106908,44.92,132.84,48659317374257,511,"2,7,1,3,5,9,4,8,6",2360.679,2343.406,2366.528,2388.136,2356.162,2340.064,2359.236,2379.591,2360.059,2335.375,2376.982,2398.597,2356.003,2328.534,2359.398,2387.058,2358.945,2333.758,2362.322,2385.909,2353.078,2333.825,2358.239,2372.678,2374.836,2337.45,2354.063,None,2353.803,2328.485,2357.91,2389.572,2352.212,2332.847,2369.275,2374.527,45.22635010352325,133.0128163673217,-0.48426315789473157,0.5190758204451159,0.7043078066691097,44.128502212360644,132.7907303314421,-0.4729919028340104,0.5109505846850285,0.7177800219172233,46.299444980995126,134.52285877118965,-0.5069353640416094,0.5154496617588592,0.6908894143614291,47.6682883861904,133.07602221705977,-0.504890000000006,0.5399900000000061,0.6734217755611912,,,,,,46.08511479702824,138.04298336260626,-0.535701402805623,0.4816204986149619,0.6935890010272389,,,,,,,,,,,39.543361312339904,116.51294166118147,-0.2842058823529356,0.5697065217391226,0.7711429799485306
