,X_1,Y_1,Z_1,t_1,X_2,Y_2,Z_2,t_2,X_3,Y_3,Z_3,t_3,X_4,Y_4,Z_4,t_4,X_5,Y_5,Z_5,t_5,X_6,Y_6,Z_6,t_6,X_7,Y_7,Z_7,t_7,X_8,Y_8,Z_8,t_8,X_9,Y_9,Z_9,t_9,X_10,Y_10,Z_10,t_10,X_11,Y_11,Z_11,t_11,X_12,Y_12,Z_12,t_12,X_13,Y_13,Z_13,t_13,X_14,Y_14,Z_14,t_14,X_15,Y_15,Z_15,t_15,X_16,Y_16,Z_16,t_16,X_17,Y_17,Z_17,t_17,X_18,Y_18,Z_18,t_18,X_19,Y_19,Z_19,t_19,X_20,Y_20,Z_20,t_20,X_21,Y_21,Z_21,t_21,X_22,Y_22,Z_22,t_22,X_23,Y_23,Z_23,t_23,X_24,Y_24,Z_24,t_24,X_25,Y_25,Z_25,t_25,X_26,Y_26,Z_26,t_26,X_27,Y_27,Z_27,t_27,X_28,Y_28,Z_28,t_28,X_29,Y_29,Z_29,t_29,X_30,Y_30,Z_30,t_30,X_31,Y_31,Z_31,t_31,X_32,Y_32,Z_32,t_32,X_33,Y_33,Z_33,t_33,X_34,Y_34,Z_34,t_34,X_35,Y_35,Z_35,t_35,X_36,Y_36,Z_36,t_36,clusters_bit,clusters_num,theta,phi
0,,,,,,,,,,,,,,,,,-25.359,37.335,-6.684,2353.241,-37.609,37.335,-6.684,2339.532,,,,,,,,,,,,,-6.872,12.65,0.0,2288.165,-6.872,-12.63,0.0,2352.697,,,,,37.369,10.956,-14.946,2347.698,22.469,10.956,-15.266,2327.065,,,,,37.369,-3.952,-15.076,2395.202,37.369,45.572,-16.166,2347.165,22.977,45.572,-16.461,2327.821,22.977,28.482,-16.111,2379.692,37.367,28.482,-16.511,2394.386,6.915,-56.16,-16.151,2319.779,,,,,-2.794,-70.539,-15.931,2346.157,6.915,-70.539,-16.101,2352.198,-9.541,53.623,-17.031,2347.094,-20.557,64.708,-17.796,2295.388,-20.557,53.623,-17.501,2334.775,,,,,,,,,26.94,-16.802,-15.456,2298.411,,,,,42.14,-32.102,-14.686,2356.793,,,,,,,,,,,,,,,,,254,13,1.1112511347447898,2.036973770002582
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.479,12.65,0.0,2377.588,-6.872,12.65,0.0,2350.685,-6.872,-12.63,0.0,2636.686,6.479,-12.63,0.0,2357.529,37.369,10.956,-14.946,2418.106,22.469,10.956,-15.266,2359.338,22.469,-3.952,-15.346,2354.716,37.369,-3.952,-15.076,2386.056,37.369,45.572,-16.166,2389.431,22.977,45.572,-16.461,2354.422,22.977,28.482,-16.111,2338.525,37.367,28.482,-16.511,2372.302,,,,,,,,,,,,,,,,,-9.541,53.623,-17.031,2350.992,,,,,-20.557,53.623,-17.501,2327.724,,,,,,,,,,,,,,,,,,,,,-25.359,-25.745,-7.329,2376.339,-37.255,-25.745,-7.364,2342.739,-37.255,-39.545,-7.339,2334.071,-25.359,-39.545,-7.279,2375.241,348,9,0.7487462491055673,3.4693654871143282
2,-25.359,5.885,-6.684,2376.449,-37.609,5.885,-6.684,2347.995,-37.609,-7.315,-6.684,2335.962,-25.359,-7.315,-6.684,2361.802,-25.359,37.335,-6.684,2372.925,-37.609,37.335,-6.684,2349.378,-37.609,24.135,-6.684,2320.554,-25.359,24.135,-6.684,2345.383,6.479,12.65,0.0,2388.631,-6.872,12.65,0.0,2358.372,-6.872,-12.63,0.0,2325.9,6.479,-12.63,0.0,2349.679,,,,,,,,,,,,,,,,,37.369,45.572,-16.166,2346.788,,,,,22.977,28.482,-16.111,2295.417,37.367,28.482,-16.511,2317.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.94,-16.802,-15.456,2331.571,,,,,42.14,-32.102,-14.686,2346.979,,,,,,,,,,,,,,,,,151,9,0.8957029721234899,3.7124898519171383
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.872,-12.63,0.0,2307.759,6.479,-12.63,0.0,2348.569,37.369,10.956,-14.946,2378.677,22.469,10.956,-15.266,2353.227,22.469,-3.952,-15.346,2331.854,37.369,-3.952,-15.076,2354.421,,,,,,,,,,,,,,,,,6.915,-56.16,-16.151,2407.108,,,,,-2.794,-70.539,-15.931,2337.428,6.915,-70.539,-16.101,2351.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,0.7723081940074908,4.0842449825919305
4,-25.359,5.885,-6.684,2352.727,-37.609,5.885,-6.684,2340.497,-37.609,-7.315,-6.684,2355.61,-25.359,-7.315,-6.684,2378.461,-25.359,37.335,-6.684,2352.252,,,,,-37.609,24.135,-6.684,2347.585,-25.359,24.135,-6.684,2366.452,6.479,12.65,0.0,2358.344,-6.872,12.65,0.0,2326.941,-6.872,-12.63,0.0,2363.359,6.479,-12.63,0.0,2382.454,,,,,22.469,10.956,-15.266,2331.084,22.469,-3.952,-15.346,2351.017,37.369,-3.952,-15.076,2376.688,37.369,45.572,-16.166,2342.801,,,,,22.977,28.482,-16.111,2345.643,37.367,28.482,-16.511,2357.771,6.915,-56.16,-16.151,2355.573,-2.794,-56.16,-15.911,2340.056,-2.794,-70.539,-15.931,2358.972,6.915,-70.539,-16.101,2373.212,,,,,,,,,,,,,,,,,42.14,-16.802,-15.136,2351.601,26.94,-16.802,-15.456,2329.903,26.94,-32.102,-15.456,2355.169,42.14,-32.102,-14.686,2377.371,-25.359,-25.745,-7.329,2357.07,-37.255,-25.745,-7.364,2332.812,-37.255,-39.545,-7.339,2359.928,-25.359,-39.545,-7.279,2375.972,447,15,0.7157595262428745,2.430545516327303
5,-25.359,5.885,-6.684,2353.748,-37.609,5.885,-6.684,2326.533,-37.609,-7.315,-6.684,2346.42,-25.359,-7.315,-6.684,2372.54,-25.359,37.335,-6.684,2367.547,-37.609,37.335,-6.684,2347.244,-37.609,24.135,-6.684,2357.916,-25.359,24.135,-6.684,2387.056,6.479,12.65,0.0,2360.883,-6.872,12.65,0.0,2325.363,-6.872,-12.63,0.0,2349.185,6.479,-12.63,0.0,2384.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.359,-25.745,-7.329,2325.175,,,,,-37.255,-39.545,-7.339,2326.4,-25.359,-39.545,-7.279,2348.24,263,7,0.8075638448977763,2.6942647663036468
6,-25.359,5.885,-6.684,2362.283,-37.609,5.885,-6.684,2338.036,,,,,-25.359,-7.315,-6.684,2342.823,,,,,,,,,,,,,,,,,6.479,12.65,0.0,2403.299,,,,,-6.872,-12.63,0.0,2327.496,6.479,-12.63,0.0,2350.739,37.369,10.956,-14.946,2370.423,,,,,22.469,-3.952,-15.346,2316.088,37.369,-3.952,-15.076,2348.604,,,,,22.977,45.572,-16.461,2353.004,22.977,28.482,-16.111,2320.082,37.367,28.482,-16.511,2351.208,6.915,-56.16,-16.151,2348.475,-2.794,-56.16,-15.911,2333.164,,,,,6.915,-70.539,-16.101,2322.326,,,,,,,,,,,,,,,,,42.14,-16.802,-15.136,2378.974,26.94,-16.802,-15.456,2352.76,26.94,-32.102,-15.456,2333.276,42.14,-32.102,-14.686,2358.991,-25.359,-25.745,-7.329,2372.775,-37.255,-25.745,-7.364,2351.231,-37.255,-39.545,-7.339,2327.673,-25.359,-39.545,-7.279,2351.352,445,13,0.9269443657341884,3.873234676025816
7,-25.359,5.885,-6.684,2355.547,-37.609,5.885,-6.684,2345.689,-37.609,-7.315,-6.684,2365.355,-25.359,-7.315,-6.684,2382.091,,,,,,,,,,,,,,,,,6.479,12.65,0.0,2357.57,-6.872,12.65,0.0,2337.523,-6.872,-12.63,0.0,2376.384,6.479,-12.63,0.0,2393.236,,,,,,,,,,,,,,,,,37.369,45.572,-16.166,2346.618,22.977,45.572,-16.461,2329.086,22.977,28.482,-16.111,2351.941,37.367,28.482,-16.511,2370.796,6.915,-56.16,-16.151,2357.437,-2.794,-56.16,-15.911,2343.435,-2.794,-70.539,-15.931,2368.137,6.915,-70.539,-16.101,2378.937,-9.541,53.623,-17.031,2350.751,-20.557,64.708,-17.796,2336.039,-20.557,53.623,-17.501,2333.745,,,,,42.14,-16.802,-15.136,2362.724,26.94,-16.802,-15.456,2343.728,26.94,-32.102,-15.456,2369.565,42.14,-32.102,-14.686,2390.179,,,,,,,,,,,,,,,,,245,11,0.7028440897781165,2.2698006922186256
8,-25.359,5.885,-6.684,2352.216,-37.609,5.885,-6.684,2337.101,-37.609,-7.315,-6.684,2356.379,-25.359,-7.315,-6.684,2377.642,-25.359,37.335,-6.684,2342.712,-37.609,37.335,-6.684,2342.193,-37.609,24.135,-6.684,2343.4,-25.359,24.135,-6.684,2376.471,6.479,12.65,0.0,2358.113,-6.872,12.65,0.0,2335.629,-6.872,-12.63,0.0,2384.606,6.479,-12.63,0.0,2396.74,37.369,10.956,-14.946,2353.251,22.469,10.956,-15.266,2328.094,22.469,-3.952,-15.346,2357.081,37.369,-3.952,-15.076,2382.574,,,,,22.977,45.572,-16.461,2327.973,22.977,28.482,-16.111,2353.263,37.367,28.482,-16.511,2375.933,,,,,-2.794,-56.16,-15.911,2326.139,-2.794,-70.539,-15.931,2349.477,6.915,-70.539,-16.101,2367.078,,,,,,,,,,,,,,,,,42.14,-16.802,-15.136,2351.034,26.94,-16.802,-15.456,2328.245,26.94,-32.102,-15.456,2356.288,42.14,-32.102,-14.686,2380.553,,,,,,,,,-37.255,-39.545,-7.339,2325.208,-25.359,-39.545,-7.279,2348.022,447,15,0.7628834160467215,2.298947690726931
9,-25.359,5.885,-6.684,2360.679,-37.609,5.885,-6.684,2343.406,-37.609,-7.315,-6.684,2366.528,-25.359,-7.315,-6.684,2388.136,-25.359,37.335,-6.684,2356.162,-37.609,37.335,-6.684,2340.064,-37.609,24.135,-6.684,2359.236,-25.359,24.135,-6.684,2379.591,6.479,12.65,0.0,2360.059,-6.872,12.65,0.0,2335.375,-6.872,-12.63,0.0,2376.982,6.479,-12.63,0.0,2398.597,37.369,10.956,-14.946,2356.003,22.469,10.956,-15.266,2328.534,22.469,-3.952,-15.346,2359.398,37.369,-3.952,-15.076,2387.058,37.369,45.572,-16.166,2358.945,22.977,45.572,-16.461,2333.758,22.977,28.482,-16.111,2362.322,37.367,28.482,-16.511,2385.909,6.915,-56.16,-16.151,2353.078,-2.794,-56.16,-15.911,2333.825,-2.794,-70.539,-15.931,2358.239,6.915,-70.539,-16.101,2372.678,-9.541,53.623,-17.031,2374.836,-20.557,64.708,-17.796,2337.45,-20.557,53.623,-17.501,2354.063,,,,,42.14,-16.802,-15.136,2353.803,26.94,-16.802,-15.456,2328.485,26.94,-32.102,-15.456,2357.91,42.14,-32.102,-14.686,2389.572,-25.359,-25.745,-7.329,2352.212,-37.255,-25.745,-7.364,2332.847,-37.255,-39.545,-7.339,2369.275,-25.359,-39.545,-7.279,2374.527,511,17,0.7840018999958529,2.3184953783492674
